text,kind,compiled,predicate_f1
IF x0 = 1 THEN y = 1 increases,valid,1,
IF x0 > 1 THEN y = 1 decreases,valid,1,
IF x1 = 1 THEN y = 1 increases,valid,1,
IF x1 > 2 THEN y = 1 decreases,valid,1,
IF x2 = 1 THEN y = 1 increases,valid,1,
IF x2 > 3 THEN y = 1 decreases,valid,1,
IF x3 = 1 THEN y = 1 increases,valid,1,
IF x3 > 4 THEN y = 1 decreases,valid,1,
IF x4 = 1 THEN y = 1 increases,valid,1,
IF x4 > 5 THEN y = 1 decreases,valid,1,
IF x5 = 1 THEN y = 1 increases,valid,1,
IF x5 > 1 THEN y = 1 decreases,valid,1,
IF x6 = 1 THEN y = 1 increases,valid,1,
IF x6 > 2 THEN y = 1 decreases,valid,1,
IF x7 = 1 THEN y = 1 increases,valid,1,
IF x7 > 3 THEN y = 1 decreases,valid,1,
IF x8 = 1 THEN y = 1 increases,valid,1,
IF x8 > 4 THEN y = 1 decreases,valid,1,
IF x9 = 1 THEN y = 1 increases,valid,1,
IF x9 > 5 THEN y = 1 decreases,valid,1,
IF x10 = 1 THEN y = 1 increases,valid,1,
IF x10 > 1 THEN y = 1 decreases,valid,1,
IF x11 = 1 THEN y = 1 increases,valid,1,
IF x11 > 2 THEN y = 1 decreases,valid,1,
IF x12 = 1 THEN y = 1 increases,valid,1,
IF x12 > 3 THEN y = 1 decreases,valid,1,
IF x13 = 1 THEN y = 1 increases,valid,1,
IF x13 > 4 THEN y = 1 decreases,valid,1,
IF x14 = 1 THEN y = 1 increases,valid,1,
IF x14 > 5 THEN y = 1 decreases,valid,1,
IF x15 = 1 THEN y = 1 increases,valid,1,
IF x15 > 1 THEN y = 1 decreases,valid,1,
IF x16 = 1 THEN y = 1 increases,valid,1,
IF x16 > 2 THEN y = 1 decreases,valid,1,
IF x17 = 1 THEN y = 1 increases,valid,1,
IF x17 > 3 THEN y = 1 decreases,valid,1,
IF x18 = 1 THEN y = 1 increases,valid,1,
IF x18 > 4 THEN y = 1 decreases,valid,1,
IF x19 = 1 THEN y = 1 increases,valid,1,
IF x19 > 5 THEN y = 1 decreases,valid,1,
IF x0 = 1 AND x7 >= 2 THEN y = 1 increases,valid,1,
IF x1 = 1 AND x8 >= 2 THEN y = 1 increases,valid,1,
IF x2 = 1 AND x9 >= 2 THEN y = 1 increases,valid,1,
IF x3 = 1 AND x10 >= 2 THEN y = 1 increases,valid,1,
IF x4 = 1 AND x11 >= 2 THEN y = 1 increases,valid,1,
IF x5 = 1 AND x12 >= 2 THEN y = 1 increases,valid,1,
IF x6 = 1 AND x13 >= 2 THEN y = 1 increases,valid,1,
IF x7 = 1 AND x14 >= 2 THEN y = 1 increases,valid,1,
IF x8 = 1 AND x15 >= 2 THEN y = 1 increases,valid,1,
IF x9 = 1 AND x16 >= 2 THEN y = 1 increases,valid,1,
IF x10 = 1 AND x17 >= 2 THEN y = 1 increases,valid,1,
IF x11 = 1 AND x18 >= 2 THEN y = 1 increases,valid,1,
IF x12 = 1 AND x19 >= 2 THEN y = 1 increases,valid,1,
IF x13 = 1 AND x20 >= 2 THEN y = 1 increases,valid,1,
IF x14 = 1 AND x21 >= 2 THEN y = 1 increases,valid,1,
IF x15 = 1 AND x22 >= 2 THEN y = 1 increases,valid,1,
IF x16 = 1 AND x23 >= 2 THEN y = 1 increases,valid,1,
IF x17 = 1 AND x24 >= 2 THEN y = 1 increases,valid,1,
IF x18 = 1 AND x25 >= 2 THEN y = 1 increases,valid,1,
IF x19 = 1 AND x26 >= 2 THEN y = 1 increases,valid,1,
x0 equals one and y increases,invalid,0,
IF x99 = 1 THEN y = 1 increases,invalid,0,
IF x1 = 1 THEN y changes,invalid,0,
IF color is red THEN y = 1 increases,invalid,0,
IF x2 around 5 THEN y = 1 decreases,invalid,1,
x0 equals one and y increases,invalid,0,
IF x99 = 1 THEN y = 1 increases,invalid,0,
IF x1 = 1 THEN y changes,invalid,0,
IF color is red THEN y = 1 increases,invalid,0,
IF x2 around 5 THEN y = 1 decreases,invalid,1,
x0 equals one and y increases,invalid,0,
IF x99 = 1 THEN y = 1 increases,invalid,0,
IF x1 = 1 THEN y changes,invalid,0,
IF color is red THEN y = 1 increases,invalid,0,
IF x2 around 5 THEN y = 1 decreases,invalid,1,
x0 equals one and y increases,invalid,0,
IF x99 = 1 THEN y = 1 increases,invalid,0,
IF x1 = 1 THEN y changes,invalid,0,
IF color is red THEN y = 1 increases,invalid,0,
IF x2 around 5 THEN y = 1 decreases,invalid,1,
