accepted,accepted_on_any_seed,failure_type,method,seeds
10,1,valid,FullVerifier,10
0,0,support,FullVerifier,10
0,0,statistical,FullVerifier,10
0,0,fdr_null,FullVerifier,10
0,0,counterfactual,FullVerifier,10
0,0,holdout,FullVerifier,10
1,1,redundant,FullVerifier,10
10,1,valid,NoCounterfactual,10
0,0,support,NoCounterfactual,10
0,0,statistical,NoCounterfactual,10
0,0,fdr_null,NoCounterfactual,10
10,1,counterfactual,NoCounterfactual,10
0,0,holdout,NoCounterfactual,10
10,1,redundant,NoCounterfactual,10
10,1,valid,NoEffect,10
0,0,support,NoEffect,10
0,0,statistical,NoEffect,10
0,0,fdr_null,NoEffect,10
10,1,counterfactual,NoEffect,10
0,0,holdout,NoEffect,10
10,1,redundant,NoEffect,10
10,1,valid,NoFDR,10
0,0,support,NoFDR,10
0,0,statistical,NoFDR,10
1,1,fdr_null,NoFDR,10
0,0,counterfactual,NoFDR,10
0,0,holdout,NoFDR,10
1,1,redundant,NoFDR,10
10,1,valid,NoHeldout,10
0,0,support,NoHeldout,10
0,0,statistical,NoHeldout,10
2,1,fdr_null,NoHeldout,10
0,0,counterfactual,NoHeldout,10
10,1,holdout,NoHeldout,10
1,1,redundant,NoHeldout,10
10,1,valid,NoStatTest,10
0,0,support,NoStatTest,10
4,1,statistical,NoStatTest,10
1,1,fdr_null,NoStatTest,10
0,0,counterfactual,NoStatTest,10
0,0,holdout,NoStatTest,10
1,1,redundant,NoStatTest,10
10,1,valid,NoSupport,10
10,1,support,NoSupport,10
1,1,statistical,NoSupport,10
0,0,fdr_null,NoSupport,10
0,0,counterfactual,NoSupport,10
0,0,holdout,NoSupport,10
1,1,redundant,NoSupport,10
