seed,dataset,hypotheses,accepted,accepted_rate
0,BankMarketingMonth-label-permuted,39,0,0.0
1,BankMarketingMonth-label-permuted,39,0,0.0
2,BankMarketingMonth-label-permuted,39,0,0.0
3,BankMarketingMonth-label-permuted,39,0,0.0
4,BankMarketingMonth-label-permuted,39,0,0.0
5,BankMarketingMonth-label-permuted,39,0,0.0
6,BankMarketingMonth-label-permuted,39,0,0.0
7,BankMarketingMonth-label-permuted,39,0,0.0
8,BankMarketingMonth-label-permuted,39,0,0.0
9,BankMarketingMonth-label-permuted,39,0,0.0
10,BankMarketingMonth-label-permuted,39,0,0.0
11,BankMarketingMonth-label-permuted,39,0,0.0
12,BankMarketingMonth-label-permuted,39,0,0.0
13,BankMarketingMonth-label-permuted,39,0,0.0
14,BankMarketingMonth-label-permuted,39,0,0.0
15,BankMarketingMonth-label-permuted,39,0,0.0
16,BankMarketingMonth-label-permuted,39,0,0.0
17,BankMarketingMonth-label-permuted,39,0,0.0
18,BankMarketingMonth-label-permuted,39,0,0.0
19,BankMarketingMonth-label-permuted,39,0,0.0
20,BankMarketingMonth-label-permuted,39,0,0.0
21,BankMarketingMonth-label-permuted,39,0,0.0
22,BankMarketingMonth-label-permuted,39,0,0.0
23,BankMarketingMonth-label-permuted,39,0,0.0
24,BankMarketingMonth-label-permuted,39,0,0.0
25,BankMarketingMonth-label-permuted,39,0,0.0
26,BankMarketingMonth-label-permuted,39,0,0.0
27,BankMarketingMonth-label-permuted,39,0,0.0
28,BankMarketingMonth-label-permuted,39,0,0.0
29,BankMarketingMonth-label-permuted,39,0,0.0
30,BankMarketingMonth-label-permuted,39,0,0.0
31,BankMarketingMonth-label-permuted,39,0,0.0
32,BankMarketingMonth-label-permuted,39,0,0.0
33,BankMarketingMonth-label-permuted,39,0,0.0
34,BankMarketingMonth-label-permuted,39,0,0.0
35,BankMarketingMonth-label-permuted,39,0,0.0
36,BankMarketingMonth-label-permuted,39,0,0.0
37,BankMarketingMonth-label-permuted,39,0,0.0
38,BankMarketingMonth-label-permuted,39,0,0.0
39,BankMarketingMonth-label-permuted,39,0,0.0
40,BankMarketingMonth-label-permuted,39,0,0.0
41,BankMarketingMonth-label-permuted,39,0,0.0
42,BankMarketingMonth-label-permuted,39,0,0.0
43,BankMarketingMonth-label-permuted,39,0,0.0
44,BankMarketingMonth-label-permuted,39,0,0.0
45,BankMarketingMonth-label-permuted,39,0,0.0
46,BankMarketingMonth-label-permuted,39,0,0.0
47,BankMarketingMonth-label-permuted,39,0,0.0
48,BankMarketingMonth-label-permuted,39,0,0.0
49,BankMarketingMonth-label-permuted,39,0,0.0
