batches,compile_success_rate_mean,compiled_mean,dataset,duplicates_mean,model,proposed_mean,provider,unique_mean
2,1.0,7.0,AdultIncome,0.0,llama3.2:1b,7.0,ollama,7.0
2,1.0,3.5,GermanCredit,0.0,llama3.2:1b,3.5,ollama,3.5
6,0.8333333333333334,3.3333333333333335,Synthetic,0.0,llama3.2:1b,4.0,ollama,4.0
3,0.3333333333333333,1.0,AdultIncome,0.0,llama3.2:3b,1.6666666666666667,ollama,1.6666666666666667
3,0.0,0.0,GermanCredit,0.0,llama3.2:3b,0.0,ollama,0.0
5,0.6,10.8,Synthetic,0.0,llama3.2:3b,10.8,ollama,10.8
3,0.0,0.0,AdultIncome,0.0,qwen2.5:0.5b,2.0,ollama,2.0
3,1.0,2.0,GermanCredit,0.0,qwen2.5:0.5b,2.0,ollama,2.0
6,1.0,2.0,Synthetic,0.0,qwen2.5:0.5b,2.0,ollama,2.0
3,0.3333333333333333,1.6666666666666667,AdultIncome,0.0,smollm2:135m,1.6666666666666667,ollama,1.6666666666666667
3,0.0,0.0,GermanCredit,0.0,smollm2:135m,0.0,ollama,0.0
6,0.0,0.0,Synthetic,0.0,smollm2:135m,0.0,ollama,0.0
1,1.0,24.0,AdultIncome,0.0,gpt-4o,24.0,openai,24.0
1,1.0,24.0,GermanCredit,0.0,gpt-4o,24.0,openai,24.0
3,1.0,24.0,Synthetic,0.0,gpt-4o,24.0,openai,24.0
1,1.0,24.0,AdultIncome,0.0,gpt-4o-mini,24.0,openai,24.0
1,1.0,25.0,GermanCredit,0.0,gpt-4o-mini,25.0,openai,25.0
37,1.0,24.54054054054054,Synthetic,0.0,gpt-4o-mini,24.54054054054054,openai,24.54054054054054
