compile_errors,compile_success_rate,compiled,dataset,duplicates,model,proposed,provider,seed,source,unique
0,1.0,23,SyntheticSeed0,0,top-association-offline,23,demo,0,,23
0,1.0,23,SyntheticSeed1,0,top-association-offline,23,demo,1,,23
0,1.0,23,SyntheticSeed2,0,top-association-offline,23,demo,2,,23
0,1.0,23,SyntheticSeed3,0,top-association-offline,23,demo,3,,23
0,1.0,23,SyntheticSeed4,0,top-association-offline,23,demo,4,,23
0,1.0,23,SyntheticSeed5,0,top-association-offline,23,demo,5,,23
0,1.0,23,SyntheticSeed6,0,top-association-offline,23,demo,6,,23
0,1.0,23,SyntheticSeed7,0,top-association-offline,23,demo,7,,23
0,1.0,23,SyntheticSeed8,0,top-association-offline,23,demo,8,,23
0,1.0,23,SyntheticSeed9,0,top-association-offline,23,demo,9,,23
0,1.0,23,SyntheticSeed10,0,top-association-offline,23,demo,10,,23
0,1.0,23,SyntheticSeed11,0,top-association-offline,23,demo,11,,23
0,1.0,23,SyntheticSeed12,0,top-association-offline,23,demo,12,,23
0,1.0,23,SyntheticSeed13,0,top-association-offline,23,demo,13,,23
0,1.0,23,SyntheticSeed14,0,top-association-offline,23,demo,14,,23
0,1.0,23,SyntheticSeed15,0,top-association-offline,23,demo,15,,23
0,1.0,23,SyntheticSeed16,0,top-association-offline,23,demo,16,,23
0,1.0,23,SyntheticSeed17,0,top-association-offline,23,demo,17,,23
0,1.0,23,SyntheticSeed18,0,top-association-offline,23,demo,18,,23
0,1.0,23,SyntheticSeed19,0,top-association-offline,23,demo,19,,23
0,1.0,23,SyntheticSeed20,0,top-association-offline,23,demo,20,,23
0,1.0,23,SyntheticSeed21,0,top-association-offline,23,demo,21,,23
0,1.0,23,SyntheticSeed22,0,top-association-offline,23,demo,22,,23
0,1.0,23,SyntheticSeed23,0,top-association-offline,23,demo,23,,23
0,1.0,24,AdultIncome,0,top-association-offline,24,demo,,uci,24
0,1.0,24,GermanCredit,0,top-association-offline,24,demo,,uci,24
