accepted,achieved_fdr,method,null_accepted,null_proposals,seed
2,0.0,RawP,0,10,0
2,0.0,BH,0,10,0
1,0.0,BY,0,10,0
3,0.3333333333333333,RawP,1,10,1
2,0.0,BH,0,10,1
1,0.0,BY,0,10,1
3,0.3333333333333333,RawP,1,10,2
2,0.0,BH,0,10,2
1,0.0,BY,0,10,2
3,0.3333333333333333,RawP,1,10,3
2,0.0,BH,0,10,3
1,0.0,BY,0,10,3
2,0.0,RawP,0,10,4
2,0.0,BH,0,10,4
1,0.0,BY,0,10,4
2,0.0,RawP,0,10,5
2,0.0,BH,0,10,5
1,0.0,BY,0,10,5
2,0.0,RawP,0,10,6
2,0.0,BH,0,10,6
1,0.0,BY,0,10,6
2,0.0,RawP,0,10,7
2,0.0,BH,0,10,7
1,0.0,BY,0,10,7
3,0.3333333333333333,RawP,1,10,8
2,0.0,BH,0,10,8
1,0.0,BY,0,10,8
3,0.3333333333333333,RawP,1,10,9
2,0.0,BH,0,10,9
1,0.0,BY,0,10,9
2,0.0,RawP,0,10,10
2,0.0,BH,0,10,10
1,0.0,BY,0,10,10
2,0.0,RawP,0,10,11
2,0.0,BH,0,10,11
1,0.0,BY,0,10,11
2,0.0,RawP,0,10,12
2,0.0,BH,0,10,12
1,0.0,BY,0,10,12
3,0.3333333333333333,RawP,1,10,13
3,0.3333333333333333,BH,1,10,13
3,0.3333333333333333,BY,1,10,13
4,0.5,RawP,2,10,14
2,0.0,BH,0,10,14
1,0.0,BY,0,10,14
2,0.0,RawP,0,10,15
2,0.0,BH,0,10,15
1,0.0,BY,0,10,15
2,0.0,RawP,0,10,16
2,0.0,BH,0,10,16
1,0.0,BY,0,10,16
3,0.3333333333333333,RawP,1,10,17
2,0.0,BH,0,10,17
1,0.0,BY,0,10,17
2,0.0,RawP,0,10,18
2,0.0,BH,0,10,18
1,0.0,BY,0,10,18
2,0.0,RawP,0,10,19
2,0.0,BH,0,10,19
1,0.0,BY,0,10,19
3,0.3333333333333333,RawP,1,10,20
2,0.0,BH,0,10,20
1,0.0,BY,0,10,20
2,0.0,RawP,0,10,21
2,0.0,BH,0,10,21
1,0.0,BY,0,10,21
3,0.3333333333333333,RawP,1,10,22
2,0.0,BH,0,10,22
1,0.0,BY,0,10,22
3,0.3333333333333333,RawP,1,10,23
3,0.3333333333333333,BH,1,10,23
1,0.0,BY,0,10,23
3,0.3333333333333333,RawP,1,10,24
3,0.3333333333333333,BH,1,10,24
1,0.0,BY,0,10,24
2,0.0,RawP,0,10,25
2,0.0,BH,0,10,25
1,0.0,BY,0,10,25
2,0.0,RawP,0,10,26
2,0.0,BH,0,10,26
1,0.0,BY,0,10,26
2,0.0,RawP,0,10,27
2,0.0,BH,0,10,27
1,0.0,BY,0,10,27
3,0.3333333333333333,RawP,1,10,28
2,0.0,BH,0,10,28
1,0.0,BY,0,10,28
3,0.3333333333333333,RawP,1,10,29
2,0.0,BH,0,10,29
1,0.0,BY,0,10,29
3,0.3333333333333333,RawP,1,10,30
3,0.3333333333333333,BH,1,10,30
3,0.3333333333333333,BY,1,10,30
2,0.0,RawP,0,10,31
2,0.0,BH,0,10,31
1,0.0,BY,0,10,31
2,0.0,RawP,0,10,32
2,0.0,BH,0,10,32
1,0.0,BY,0,10,32
2,0.0,RawP,0,10,33
2,0.0,BH,0,10,33
1,0.0,BY,0,10,33
2,0.0,RawP,0,10,34
2,0.0,BH,0,10,34
1,0.0,BY,0,10,34
2,0.0,RawP,0,10,35
2,0.0,BH,0,10,35
1,0.0,BY,0,10,35
2,0.0,RawP,0,10,36
2,0.0,BH,0,10,36
1,0.0,BY,0,10,36
2,0.0,RawP,0,10,37
2,0.0,BH,0,10,37
1,0.0,BY,0,10,37
3,0.3333333333333333,RawP,1,10,38
2,0.0,BH,0,10,38
1,0.0,BY,0,10,38
2,0.0,RawP,0,10,39
2,0.0,BH,0,10,39
1,0.0,BY,0,10,39
2,0.0,RawP,0,10,40
2,0.0,BH,0,10,40
1,0.0,BY,0,10,40
2,0.0,RawP,0,10,41
2,0.0,BH,0,10,41
1,0.0,BY,0,10,41
3,0.3333333333333333,RawP,1,10,42
2,0.0,BH,0,10,42
1,0.0,BY,0,10,42
3,0.3333333333333333,RawP,1,10,43
2,0.0,BH,0,10,43
1,0.0,BY,0,10,43
3,0.3333333333333333,RawP,1,10,44
2,0.0,BH,0,10,44
1,0.0,BY,0,10,44
3,0.3333333333333333,RawP,1,10,45
2,0.0,BH,0,10,45
1,0.0,BY,0,10,45
3,0.3333333333333333,RawP,1,10,46
2,0.0,BH,0,10,46
1,0.0,BY,0,10,46
3,0.3333333333333333,RawP,1,10,47
3,0.3333333333333333,BH,1,10,47
1,0.0,BY,0,10,47
2,0.0,RawP,0,10,48
2,0.0,BH,0,10,48
1,0.0,BY,0,10,48
3,0.3333333333333333,RawP,1,10,49
3,0.3333333333333333,BH,1,10,49
1,0.0,BY,0,10,49
2,0.0,RawP,0,10,50
2,0.0,BH,0,10,50
1,0.0,BY,0,10,50
2,0.0,RawP,0,10,51
2,0.0,BH,0,10,51
1,0.0,BY,0,10,51
2,0.0,RawP,0,10,52
2,0.0,BH,0,10,52
1,0.0,BY,0,10,52
2,0.0,RawP,0,10,53
2,0.0,BH,0,10,53
1,0.0,BY,0,10,53
2,0.0,RawP,0,10,54
2,0.0,BH,0,10,54
1,0.0,BY,0,10,54
3,0.3333333333333333,RawP,1,10,55
3,0.3333333333333333,BH,1,10,55
1,0.0,BY,0,10,55
2,0.0,RawP,0,10,56
2,0.0,BH,0,10,56
1,0.0,BY,0,10,56
2,0.0,RawP,0,10,57
2,0.0,BH,0,10,57
1,0.0,BY,0,10,57
2,0.0,RawP,0,10,58
2,0.0,BH,0,10,58
1,0.0,BY,0,10,58
3,0.3333333333333333,RawP,1,10,59
2,0.0,BH,0,10,59
1,0.0,BY,0,10,59
3,0.3333333333333333,RawP,1,10,60
2,0.0,BH,0,10,60
1,0.0,BY,0,10,60
3,0.3333333333333333,RawP,1,10,61
