achieved_fdr_ci_high,achieved_fdr_ci_low,achieved_fdr_mean,method,null_proposals,seeds
0.16863819674710798,0.1196951365862253,0.14416666666666664,RawP,10,200
0.05045652743363653,0.021210139233030126,0.03583333333333333,BH,10,200
0.01790050355666721,0.0020994964433327917,0.01,BY,10,200
0.4108068317471548,0.35135983491951184,0.38108333333333333,RawP,30,200
0.06779784016494138,0.033202159835058614,0.050499999999999996,BH,30,200
0.020084118854197128,-0.003417452187530463,0.008333333333333333,BY,30,200
0.7116783675948716,0.6860287031121991,0.6988535353535353,RawP,100,200
0.09829990920556433,0.03170009079443568,0.065,BH,100,200
0.023824426710332212,-0.0038244267103322103,0.01,BY,100,200
0.8833344069848102,0.8756168865390149,0.8794756467619126,RawP,300,200
0.09925247964467748,0.030747520355322522,0.065,BH,300,200
0.0148,-0.0048,0.005,BY,300,200
0.9607933157361483,0.9593761747408625,0.9600847452385054,RawP,1000,200
0.07380298351380431,0.016197016486195693,0.045,BH,1000,200
0.0148,-0.004800000000000001,0.005,BY,1000,200
