alpha_per_test,alpha_spent,contrast_effect,dataset,decision,families,heldout_effect,heldout_shard_n,heldout_support,hypothesis,p_holdout,proposer_conditioning,query,reason,round,validation_effect,validation_support,wealth_after,wealth_before
0.00625,0.05,0.028591365541652633,Bank,rejected,demographic,0.0023963088219893652,1367,0.2238478419897586,IF x0 = 1 THEN y = 1 increases,0.5029940119760479,schema-broad singleton scan,bank_age_ge_50 = 1 -> P(y=1) increases,validation;contrast;heldout;bonferroni,1,0.030173563559252575,0.21607249850209706,0.05,0.1
0.00625,0.05,-0.01352470273095308,Bank,rejected,demographic,0.012208498617622306,1367,0.6905632772494513,IF x1 = 1 THEN y = 1 decreases,0.874251497005988,schema-broad singleton scan,bank_married = 1 -> P(y=1) decreases,validation;contrast;heldout;bonferroni,1,-0.009456965838092538,0.5961653684841223,0.05,0.1
0.00625,0.05,0.013231003021059588,Bank,rejected,occupation,-0.007696106179768514,1367,0.23116313094367227,IF x2 = 1 THEN y = 1 increases,0.7584830339321357,schema-broad singleton scan,bank_job_admin = 1 -> P(y=1) increases,validation;contrast;heldout;bonferroni,1,0.010434119744216222,0.28864589574595567,0.05,0.1
0.00625,0.05,-0.030150226309278893,Bank,rejected,occupation,0.014147286821705428,1367,0.1572787125091441,IF x3 = 1 THEN y = 1 decreases,0.8882235528942116,schema-broad singleton scan,bank_job_blue_collar = 1 -> P(y=1) decreases,validation;contrast;heldout;bonferroni,1,-0.03259523725482506,0.17757639304973039,0.05,0.1
0.00625,0.05,0.042571790097176314,Bank,rejected,occupation,0.01712779973649539,1367,0.024140453547915143,IF x4 = 1 THEN y = 1 increases,0.4351297405189621,schema-broad singleton scan,bank_job_retired = 1 -> P(y=1) increases,support;heldout;bonferroni,1,0.12162365842417609,0.04591072498502097,0.05,0.1
0.00625,0.05,0.16196019240844345,Bank,rejected,occupation,0.09947478991596638,1367,0.005120702267739576,IF x5 = 1 THEN y = 1 increases,0.27345309381237526,schema-broad singleton scan,bank_job_student = 1 -> P(y=1) increases,support;bonferroni,1,0.2043618241658801,0.016551827441581787,0.05,0.1
0.00625,0.05,0.005405597100585579,Bank,rejected,education,0.013859956443518603,1367,0.34528163862472566,IF x6 = 1 THEN y = 1 increases,0.12375249500998003,schema-broad singleton scan,bank_university_degree = 1 -> P(y=1) increases,validation;contrast;heldout;bonferroni,1,0.0035403800495370785,0.34609047333732773,0.05,0.1
0.00625,0.05,-0.05629408963104018,Bank,rejected,credit,0.01033466017986142,1367,0.12435991221653256,IF x7 = 1 THEN y = 1 decreases,0.7784431137724551,schema-broad singleton scan,bank_default_unknown = 1 -> P(y=1) decreases,heldout;bonferroni,1,-0.05470316845046094,0.22273816656680648,0.05,0.1
0.00375,0.03,-0.0005435643595056817,Bank,rejected,credit,0.014945095603684073,1367,0.5837600585223116,IF x8 = 1 THEN y = 1 decreases,0.8882235528942116,repair around previously rejected families,bank_housing_yes = 1 -> P(y=1) decreases,validation;contrast;heldout;bonferroni,2,-0.00026601931687621205,0.5390203714799281,0.020000000000000004,0.05
0.00375,0.03,-0.011211920635946908,Bank,rejected,credit,0.019401595744680852,1367,0.14045354791514264,IF x9 = 1 THEN y = 1 decreases,0.8702594810379242,repair around previously rejected families,bank_loan_yes = 1 -> P(y=1) decreases,validation;contrast;heldout;bonferroni,2,-0.011657790660695402,0.15772917914919113,0.020000000000000004,0.05
0.00375,0.03,0.15287540514207282,Bank,rejected,interaction+occupation,0.43983859134262654,1367,0.002926115581565472,IF x4 = 1 AND x13 = 1 THEN y = 1 increases,0.017964071856287425,repair around previously rejected families,bank_job_retired = 1 AND bank_duration_ge_300 = 1 -> P(y=1) increases,support;bonferroni,2,0.3161153883367659,0.014829239065308569,0.020000000000000004,0.05
0.00375,0.03,-0.04238035744804135,Bank,rejected,campaign+credit,-0.03191586025169234,1367,0.024140453547915143,IF x15 = 1 AND x7 = 1 THEN y = 1 decreases,0.3972055888223553,repair around previously rejected families,bank_campaign_gt_2 = 1 AND bank_default_unknown = 1 -> P(y=1) decreases,support;heldout;bonferroni,2,-0.0431844266979752,0.08500599161174356,0.020000000000000004,0.05
0.00375,0.03,-0.03207862485382484,Bank,rejected,campaign+credit,-0.009068947764444973,1367,0.027798098024871983,IF x15 = 1 AND x9 = 1 THEN y = 1 decreases,0.590818363273453,repair around previously rejected families,bank_campaign_gt_2 = 1 AND bank_loan_yes = 1 -> P(y=1) decreases,validation;contrast;heldout;bonferroni,2,-0.032685217424035684,0.06366087477531455,0.020000000000000004,0.05
0.00375,0.03,-0.040434317905037626,Bank,rejected,campaign+occupation,-0.023895875987130735,1367,0.038039502560351136,IF x3 = 1 AND x15 = 1 THEN y = 1 decreases,0.3772455089820359,repair around previously rejected families,bank_job_blue_collar = 1 AND bank_campaign_gt_2 = 1 -> P(y=1) decreases,heldout;bonferroni,2,-0.042232624773367,0.06807968843618933,0.020000000000000004,0.05
0.00375,0.03,0.01119954832562624,Bank,rejected,education+occupation,0.003412229634980668,1367,0.14776883686905634,IF x2 = 1 AND x6 = 1 THEN y = 1 increases,0.469061876247505,repair around previously rejected families,bank_job_admin = 1 AND bank_university_degree = 1 -> P(y=1) increases,validation;contrast;heldout;bonferroni,2,0.006891817072543049,0.18491611743559017,0.020000000000000004,0.05
0.00375,0.03,0.16925876233587925,Bank,rejected,channel+occupation,0.08182773109243696,1367,0.005120702267739576,IF x5 = 1 AND x10 = 1 THEN y = 1 increases,0.3972055888223553,repair around previously rejected families,bank_job_student = 1 AND bank_contact_cellular = 1 -> P(y=1) increases,support;bonferroni,2,0.2183460885596631,0.014604553624925104,0.020000000000000004,0.05
0.0025000000000000005,0.020000000000000004,0.02935830238593624,Bank,rejected,channel,0.029713866471019784,1367,0.8939283101682517,IF x10 = 1 THEN y = 1 increases,0.19560878243512975,repair around previously rejected families,bank_contact_cellular = 1 -> P(y=1) increases,validation;contrast;heldout;bonferroni,3,0.031006630187186912,0.8991162372678251,0.0,0.020000000000000004
0.0025000000000000005,0.020000000000000004,-0.02935830238593624,Bank,rejected,channel,-0.029713866471019784,1367,0.10607168983174835,IF x11 = 1 THEN y = 1 decreases,0.24151696606786427,repair around previously rejected families,bank_contact_telephone = 1 -> P(y=1) decreases,validation;contrast;heldout;bonferroni,3,-0.031006630187186912,0.10088376273217496,0.0,0.020000000000000004
0.0025000000000000005,0.020000000000000004,0.1786676997204084,Bank,accepted,interaction,0.24963386433710177,1367,0.49158741770299924,IF x12 = 1 THEN y = 1 increases,0.001996007984031936,repair around previously rejected families,bank_duration_ge_180 = 1 -> P(y=1) increases,all gates passed,3,0.17862000878047543,0.46727082085080884,0.0,0.020000000000000004
0.0025000000000000005,0.020000000000000004,0.2525216509225556,Bank,accepted,interaction,0.2656994205212593,1367,0.26993416239941476,IF x13 = 1 THEN y = 1 increases,0.001996007984031936,repair around previously rejected families,bank_duration_ge_300 = 1 -> P(y=1) increases,all gates passed,3,0.25296763932162913,0.26003594967046134,0.0,0.020000000000000004
0.0025000000000000005,0.020000000000000004,0.4550282329455318,Bank,accepted,interaction,0.2727171725093457,1367,0.08997805413313825,IF x14 = 1 THEN y = 1 increases,0.001996007984031936,repair around previously rejected families,bank_duration_ge_600 = 1 -> P(y=1) increases,all gates passed,3,0.455131897859211,0.08792690233672858,0.0,0.020000000000000004
0.0025000000000000005,0.020000000000000004,-0.022950387896325985,Bank,rejected,campaign,-0.14291444516418356,1367,0.31236283833211415,IF x15 = 1 THEN y = 1 decreases,0.001996007984031936,repair around previously rejected families,bank_campaign_gt_2 = 1 -> P(y=1) decreases,validation;contrast,3,-0.02311082726414926,0.37852007189934095,0.0,0.020000000000000004
0.0025000000000000005,0.020000000000000004,0.008164394649915347,Bank,rejected,campaign,0.13892440682544688,1367,0.38917337234820776,IF x16 = 1 THEN y = 1 increases,0.001996007984031936,repair around previously rejected families,bank_campaign_eq_1 = 1 -> P(y=1) increases,validation;contrast,3,0.00824922156998921,0.39469742360695026,0.0,0.020000000000000004
0.0025000000000000005,0.020000000000000004,0.5800693072689509,Bank,accepted,interaction+macro,0.5163309508338749,1367,0.11119239209948793,IF x13 = 1 AND x21 = 1 THEN y = 1 increases,0.001996007984031936,repair around previously rejected families,bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases,all gates passed,3,0.5880606484358815,0.035949670461354104,0.0,0.020000000000000004
0.00625,0.05,0.11230614911602047,Bike,accepted,season,0.2108995815899582,2912,0.3434065934065934,IF x0 = 1 THEN y = 1 increases,0.001996007984031936,schema-broad singleton scan,bike_warm_season = 1 -> P(y=1) increases,all gates passed,1,0.11124008350730691,0.4550625711035267,0.05,0.1
0.00625,0.05,-0.038435992196557224,Bike,rejected,calendar,0.08825952241298912,2912,0.6796016483516484,IF x1 = 1 THEN y = 1 increases,0.001996007984031936,schema-broad singleton scan,bike_workingday = 1 -> P(y=1) increases,validation;contrast,1,-0.034713967549660385,0.6812286689419795,0.05,0.1
0.00625,0.05,0.5153151464545204,Bike,accepted,hour,0.5026231824604586,2912,0.2925824175824176,IF x2 = 1 THEN y = 1 increases,0.001996007984031936,schema-broad singleton scan,bike_commute_hour = 1 -> P(y=1) increases,all gates passed,1,0.5152191975636878,0.2926052332195677,0.05,0.1
0.00625,0.05,0.25779174845808905,Bike,accepted,hour,0.3198824685888933,2912,0.12568681318681318,IF x3 = 1 THEN y = 1 increases,0.001996007984031936,schema-broad singleton scan,bike_morning_peak = 1 -> P(y=1) increases,all gates passed,1,0.2566340268585458,0.12559726962457338,0.05,0.1
0.00625,0.05,0.5640076632590336,Bike,accepted,hour,0.4953928463592291,2912,0.16689560439560439,IF x4 = 1 THEN y = 1 increases,0.001996007984031936,schema-broad singleton scan,bike_evening_peak = 1 -> P(y=1) increases,all gates passed,1,0.5639861802771238,0.1670079635949943,0.05,0.1
0.00625,0.05,0.0954253858291496,Bike,accepted,hour,0.23074589451795302,2912,0.20947802197802198,IF x5 = 1 THEN y = 1 increases,0.001996007984031936,schema-broad singleton scan,bike_midday = 1 -> P(y=1) increases,all gates passed,1,0.09684860807006568,0.20932878270762229,0.05,0.1
0.00625,0.05,-0.4459103525060654,Bike,accepted,hour,-0.5073059360730594,2912,0.24793956043956045,IF x6 = 1 THEN y = 1 decreases,0.001996007984031936,schema-broad singleton scan,bike_night = 1 -> P(y=1) decreases,all gates passed,1,-0.4459909228441755,0.24800910125142206,0.05,0.1
0.00625,0.05,0.03587126448375108,Bike,rejected,calendar,-0.0771834017824955,2912,0.28811813186813184,IF x7 = 1 THEN y = 1 decreases,0.001996007984031936,schema-broad singleton scan,bike_weekend = 1 -> P(y=1) decreases,validation;contrast,1,0.04130732581481705,0.28623435722411833,0.05,0.1
