accepted,accepted_rate,compile_errors,compile_success_rate,compiled,counterfactual_rejections,dataset,duplicates,fdr_rejections,holdout_rejections,model,proposed,provider,rejected,support_rejections,unique
0,0.0,0,0.0,0,0,SyntheticSeed0,0,0,0,smollm2:135m,0,ollama,0,0,0
0,0.0,0,0.0,0,0,SyntheticSeed1,0,0,0,smollm2:135m,0,ollama,0,0,0
0,0.0,0,0.0,0,0,AdultIncome,0,0,0,smollm2:135m,0,ollama,0,0,0
0,0.0,0,0.0,0,0,GermanCredit,0,0,0,smollm2:135m,0,ollama,0,0,0
1,0.5,0,1.0,2,1,SyntheticSeed0,0,1,0,qwen2.5:0.5b,2,ollama,1,0,2
1,0.5,0,1.0,2,1,SyntheticSeed1,0,1,0,qwen2.5:0.5b,2,ollama,1,0,2
0,0.0,2,0.0,0,0,AdultIncome,0,0,0,qwen2.5:0.5b,2,ollama,2,0,2
0,0.0,0,1.0,2,2,GermanCredit,0,2,2,qwen2.5:0.5b,2,ollama,2,0,2
1,0.25,0,1.0,4,2,SyntheticSeed0,0,3,3,llama3.2:1b,4,ollama,3,2,4
1,0.5,0,1.0,2,0,SyntheticSeed0,0,1,1,llama3.2:1b,2,ollama,1,0,2
0,0.0,4,0.0,0,0,SyntheticSeed1,0,0,0,llama3.2:1b,4,ollama,4,0,4
7,0.5833333333333334,0,1.0,12,5,AdultIncome,0,5,5,llama3.2:1b,12,ollama,5,2,12
0,0.0,0,1.0,2,2,GermanCredit,0,2,2,llama3.2:1b,2,ollama,2,0,2
0,0.0,0,0.0,0,0,SyntheticSeed0,0,0,0,llama3.2:3b,0,ollama,0,0,0
1,0.3333333333333333,0,1.0,3,2,AdultIncome,0,2,2,llama3.2:3b,3,ollama,2,1,3
0,0.0,0,0.0,0,0,GermanCredit,0,0,0,llama3.2:3b,0,ollama,0,0,0
