seed,family_size,arm,accepted,true_accepts,false_accepts,recall,empirical_fdr
0,100,Exhaustive-Expanded,4,3,1,1.0,0.25
0,100,Random-25,2,1,1,0.3333333333333333,0.5
0,100,VeraDM-prior,3,3,0,1.0,0.0
1,100,Exhaustive-Expanded,3,3,0,1.0,0.0
1,100,Random-25,1,1,0,0.3333333333333333,0.0
1,100,VeraDM-prior,3,3,0,1.0,0.0
2,100,Exhaustive-Expanded,3,3,0,1.0,0.0
2,100,Random-25,0,0,0,0.0,0.0
2,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
3,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
3,100,Random-25,0,0,0,0.0,0.0
3,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
4,100,Exhaustive-Expanded,3,3,0,1.0,0.0
4,100,Random-25,1,1,0,0.3333333333333333,0.0
4,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
5,100,Exhaustive-Expanded,3,3,0,1.0,0.0
5,100,Random-25,1,1,0,0.3333333333333333,0.0
5,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
6,100,Exhaustive-Expanded,3,3,0,1.0,0.0
6,100,Random-25,1,1,0,0.3333333333333333,0.0
6,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
7,100,Exhaustive-Expanded,3,3,0,1.0,0.0
7,100,Random-25,3,2,1,0.6666666666666666,0.3333333333333333
7,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
8,100,Exhaustive-Expanded,5,3,2,1.0,0.4
8,100,Random-25,1,1,0,0.3333333333333333,0.0
8,100,VeraDM-prior,3,3,0,1.0,0.0
9,100,Exhaustive-Expanded,3,3,0,1.0,0.0
9,100,Random-25,0,0,0,0.0,0.0
9,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
10,100,Exhaustive-Expanded,3,3,0,1.0,0.0
10,100,Random-25,3,3,0,1.0,0.0
10,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
11,100,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
11,100,Random-25,2,2,0,0.6666666666666666,0.0
11,100,VeraDM-prior,3,3,0,1.0,0.0
12,100,Exhaustive-Expanded,4,3,1,1.0,0.25
12,100,Random-25,0,0,0,0.0,0.0
12,100,VeraDM-prior,3,3,0,1.0,0.0
13,100,Exhaustive-Expanded,3,3,0,1.0,0.0
13,100,Random-25,2,1,1,0.3333333333333333,0.5
13,100,VeraDM-prior,4,3,1,1.0,0.25
14,100,Exhaustive-Expanded,3,3,0,1.0,0.0
14,100,Random-25,0,0,0,0.0,0.0
14,100,VeraDM-prior,3,3,0,1.0,0.0
15,100,Exhaustive-Expanded,4,3,1,1.0,0.25
15,100,Random-25,1,1,0,0.3333333333333333,0.0
15,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
16,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
16,100,Random-25,1,0,1,0.0,1.0
16,100,VeraDM-prior,3,3,0,1.0,0.0
17,100,Exhaustive-Expanded,3,3,0,1.0,0.0
17,100,Random-25,0,0,0,0.0,0.0
17,100,VeraDM-prior,3,3,0,1.0,0.0
18,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
18,100,Random-25,1,1,0,0.3333333333333333,0.0
18,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
19,100,Exhaustive-Expanded,4,3,1,1.0,0.25
19,100,Random-25,1,0,1,0.0,1.0
19,100,VeraDM-prior,4,3,1,1.0,0.25
20,100,Exhaustive-Expanded,4,3,1,1.0,0.25
20,100,Random-25,0,0,0,0.0,0.0
20,100,VeraDM-prior,3,3,0,1.0,0.0
21,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
21,100,Random-25,0,0,0,0.0,0.0
21,100,VeraDM-prior,3,3,0,1.0,0.0
22,100,Exhaustive-Expanded,3,3,0,1.0,0.0
22,100,Random-25,0,0,0,0.0,0.0
22,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
23,100,Exhaustive-Expanded,3,3,0,1.0,0.0
23,100,Random-25,1,1,0,0.3333333333333333,0.0
23,100,VeraDM-prior,4,3,1,1.0,0.25
24,100,Exhaustive-Expanded,3,3,0,1.0,0.0
24,100,Random-25,1,0,1,0.0,1.0
24,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
25,100,Exhaustive-Expanded,4,3,1,1.0,0.25
25,100,Random-25,0,0,0,0.0,0.0
25,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
26,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
26,100,Random-25,1,1,0,0.3333333333333333,0.0
26,100,VeraDM-prior,3,3,0,1.0,0.0
27,100,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
27,100,Random-25,1,1,0,0.3333333333333333,0.0
27,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
28,100,Exhaustive-Expanded,3,3,0,1.0,0.0
28,100,Random-25,2,2,0,0.6666666666666666,0.0
28,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
29,100,Exhaustive-Expanded,3,3,0,1.0,0.0
29,100,Random-25,1,1,0,0.3333333333333333,0.0
29,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
30,100,Exhaustive-Expanded,4,3,1,1.0,0.25
30,100,Random-25,1,1,0,0.3333333333333333,0.0
30,100,VeraDM-prior,3,3,0,1.0,0.0
31,100,Exhaustive-Expanded,3,3,0,1.0,0.0
31,100,Random-25,1,1,0,0.3333333333333333,0.0
31,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
32,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
32,100,Random-25,0,0,0,0.0,0.0
32,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
33,100,Exhaustive-Expanded,3,3,0,1.0,0.0
33,100,Random-25,3,3,0,1.0,0.0
33,100,VeraDM-prior,4,2,2,0.6666666666666666,0.5
34,100,Exhaustive-Expanded,3,3,0,1.0,0.0
34,100,Random-25,0,0,0,0.0,0.0
34,100,VeraDM-prior,3,3,0,1.0,0.0
35,100,Exhaustive-Expanded,3,3,0,1.0,0.0
35,100,Random-25,0,0,0,0.0,0.0
35,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
36,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
36,100,Random-25,0,0,0,0.0,0.0
36,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
37,100,Exhaustive-Expanded,3,3,0,1.0,0.0
37,100,Random-25,0,0,0,0.0,0.0
37,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
38,100,Exhaustive-Expanded,5,3,2,1.0,0.4
38,100,Random-25,1,1,0,0.3333333333333333,0.0
38,100,VeraDM-prior,5,3,2,1.0,0.4
39,100,Exhaustive-Expanded,3,3,0,1.0,0.0
