family_size,arm,tested,recall_mean,recall_ci_low,recall_ci_high,empirical_fdr_mean,accepted_mean,seeds
100,Exhaustive-Expanded,100,0.9446666666666667,0.9330248047791709,0.9563085285541624,0.08709285714285714,3.216,500
100,Random-25,25,0.24,0.21855558645214354,0.26144441354785647,0.097,0.9,500
100,VeraDM-prior,25,0.8286666666666667,0.8102199483246217,0.8471133850087116,0.08237619047619049,2.806,500
300,Exhaustive-Expanded,300,0.8986666666666666,0.8826584169119525,0.9146749164213808,0.09745238095238094,3.126,500
300,Random-25,25,0.07666666666666666,0.06303922111284321,0.09029411222049011,0.10066666666666665,0.378,500
300,VeraDM-prior,25,0.8473333333333333,0.8289230060445658,0.8657436606221007,0.08745,2.88,500
1000,Exhaustive-Expanded,1000,0.792,0.7695991520979895,0.8144008479020106,0.10071904761904761,2.764,500
1000,Random-25,25,0.032666666666666656,0.02339959015338076,0.04193374317995255,0.092,0.202,500
1000,VeraDM-prior,25,0.8426666666666668,0.824233586550364,0.8610997467829695,0.09534285714285713,2.906,500
3000,Exhaustive-Expanded,3000,0.7033333333333333,0.6783462120012363,0.7283204546654302,0.09310952380952381,2.45,500
3000,Random-25,25,0.011333333333333332,0.00603288548797258,0.016633781178694084,0.08533333333333333,0.136,500
3000,VeraDM-prior,25,0.8313333333333333,0.812155453586986,0.8505112130796805,0.08163333333333332,2.808,500
10000,Exhaustive-Expanded,10000,0.6006666666666667,0.5733115898856406,0.6280217434476928,0.09763333333333332,2.126,500
10000,Random-25,25,0.0026666666666666666,6.120088756413327e-05,0.0052721324457692,0.101,0.146,500
10000,VeraDM-prior,25,0.8533333333333333,0.835533332082392,0.8711333345842746,0.09069523809523809,2.91,500
30000,Exhaustive-Expanded,30000,0.49266666666666664,0.46520672290122933,0.520126610432104,0.10663333333333333,1.796,500
30000,Random-25,25,0.0006666666666666666,-0.0006399999999999996,0.001973333333333333,0.114,0.15,500
30000,VeraDM-prior,25,0.858,0.839676111023129,0.876323888976871,0.08718333333333332,2.932,500
100000,Exhaustive-Expanded,100000,0.3866666666666666,0.3610624029380097,0.41227093039532353,0.10649523809523807,1.434,500
100000,Random-25,25,0.0,0.0,0.0,0.088,0.102,500
100000,VeraDM-prior,25,0.8473333333333333,0.828738082638985,0.8659285840276816,0.08967619047619046,2.886,500
