accepted,dataset,empirical_fdr,null_accepts,proposals,recall,seed,true_accepts
3,Adult,0.0,0,25,1.0,0,3
3,Adult,0.0,0,25,1.0,1,3
3,Adult,0.0,0,25,1.0,2,3
3,Adult,0.0,0,25,1.0,3,3
3,Adult,0.0,0,25,1.0,4,3
3,Adult,0.0,0,25,1.0,5,3
3,Adult,0.0,0,25,1.0,6,3
3,Adult,0.0,0,25,1.0,7,3
3,Adult,0.0,0,25,1.0,8,3
3,Adult,0.0,0,25,1.0,9,3
3,Adult,0.0,0,25,1.0,10,3
3,Adult,0.0,0,25,1.0,11,3
3,Adult,0.0,0,25,1.0,12,3
3,Adult,0.0,0,25,1.0,13,3
3,Adult,0.0,0,25,1.0,14,3
3,Adult,0.0,0,25,1.0,15,3
3,Adult,0.0,0,25,1.0,16,3
3,Adult,0.0,0,25,1.0,17,3
3,Adult,0.0,0,25,1.0,18,3
3,Adult,0.0,0,25,1.0,19,3
3,Adult,0.0,0,25,1.0,20,3
3,Adult,0.0,0,25,1.0,21,3
3,Adult,0.0,0,25,1.0,22,3
3,Adult,0.0,0,25,1.0,23,3
3,Adult,0.0,0,25,1.0,24,3
3,Adult,0.0,0,25,1.0,25,3
3,Adult,0.0,0,25,1.0,26,3
3,Adult,0.0,0,25,1.0,27,3
3,Adult,0.0,0,25,1.0,28,3
3,Adult,0.0,0,25,1.0,29,3
0,German,0.0,0,25,0.0,0,0
0,German,0.0,0,25,0.0,1,0
0,German,0.0,0,25,0.0,2,0
0,German,0.0,0,25,0.0,3,0
0,German,0.0,0,25,0.0,4,0
0,German,0.0,0,25,0.0,5,0
0,German,0.0,0,25,0.0,6,0
0,German,0.0,0,25,0.0,7,0
0,German,0.0,0,25,0.0,8,0
0,German,0.0,0,25,0.0,9,0
0,German,0.0,0,25,0.0,10,0
0,German,0.0,0,25,0.0,11,0
0,German,0.0,0,25,0.0,12,0
0,German,0.0,0,25,0.0,13,0
0,German,0.0,0,25,0.0,14,0
0,German,0.0,0,25,0.0,15,0
0,German,0.0,0,25,0.0,16,0
0,German,0.0,0,25,0.0,17,0
0,German,0.0,0,25,0.0,18,0
0,German,0.0,0,25,0.0,19,0
0,German,0.0,0,25,0.0,20,0
0,German,0.0,0,25,0.0,21,0
0,German,0.0,0,25,0.0,22,0
0,German,0.0,0,25,0.0,23,0
0,German,0.0,0,25,0.0,24,0
0,German,0.0,0,25,0.0,25,0
0,German,0.0,0,25,0.0,26,0
0,German,0.0,0,25,0.0,27,0
0,German,0.0,0,25,0.0,28,0
0,German,0.0,0,25,0.0,29,0
1,BankTemporal,0.0,0,25,0.3333333333333333,0,1
1,BankTemporal,0.0,0,25,0.3333333333333333,1,1
1,BankTemporal,0.0,0,25,0.3333333333333333,2,1
1,BankTemporal,0.0,0,25,0.3333333333333333,3,1
1,BankTemporal,0.0,0,25,0.3333333333333333,4,1
1,BankTemporal,0.0,0,25,0.3333333333333333,5,1
1,BankTemporal,0.0,0,25,0.3333333333333333,6,1
1,BankTemporal,0.0,0,25,0.3333333333333333,7,1
1,BankTemporal,0.0,0,25,0.3333333333333333,8,1
1,BankTemporal,0.0,0,25,0.3333333333333333,9,1
1,BankTemporal,0.0,0,25,0.3333333333333333,10,1
1,BankTemporal,0.0,0,25,0.3333333333333333,11,1
1,BankTemporal,0.0,0,25,0.3333333333333333,12,1
1,BankTemporal,0.0,0,25,0.3333333333333333,13,1
1,BankTemporal,0.0,0,25,0.3333333333333333,14,1
1,BankTemporal,0.0,0,25,0.3333333333333333,15,1
1,BankTemporal,0.0,0,25,0.3333333333333333,16,1
1,BankTemporal,0.0,0,25,0.3333333333333333,17,1
1,BankTemporal,0.0,0,25,0.3333333333333333,18,1
1,BankTemporal,0.0,0,25,0.3333333333333333,19,1
1,BankTemporal,0.0,0,25,0.3333333333333333,20,1
1,BankTemporal,0.0,0,25,0.3333333333333333,21,1
1,BankTemporal,0.0,0,25,0.3333333333333333,22,1
1,BankTemporal,0.0,0,25,0.3333333333333333,23,1
1,BankTemporal,0.0,0,25,0.3333333333333333,24,1
1,BankTemporal,0.0,0,25,0.3333333333333333,25,1
1,BankTemporal,0.0,0,25,0.3333333333333333,26,1
1,BankTemporal,0.0,0,25,0.3333333333333333,27,1
1,BankTemporal,0.0,0,25,0.3333333333333333,28,1
1,BankTemporal,0.0,0,25,0.3333333333333333,29,1
