accepted,empirical_fdr,false_discoveries,method,null_only_false_discoveries,proxy_aware_false_discoveries,proxy_aware_fdr,recall,seed,shifted_accepts,signal_proxy_rules,true_hits
22,0.8636363636363636,19,BH-Exhaustive,6,7,0.3181818181818182,1.0,0,1,15,3
0,0.0,0,Tarone-Bonferroni,0,0,0.0,0.0,0,0,0,0
20,0.85,17,Westfall-Young,5,6,0.3,1.0,0,1,14,3
23,0.8695652173913043,20,Subgroup-BH,7,8,0.34782608695652173,1.0,0,1,15,3
13,0.7692307692307693,10,StableEnv-BH,0,0,0.0,1.0,0,0,13,3
13,0.7692307692307693,10,VeraDM,0,0,0.0,1.0,0,0,13,3
21,0.8571428571428571,18,BH-Exhaustive,5,6,0.2857142857142857,1.0,1,1,15,3
0,0.0,0,Tarone-Bonferroni,0,0,0.0,0.0,1,0,0,0
21,0.8571428571428571,18,Westfall-Young,5,6,0.2857142857142857,1.0,1,1,15,3
23,0.8695652173913043,20,Subgroup-BH,7,8,0.34782608695652173,1.0,1,1,15,3
13,0.7692307692307693,10,StableEnv-BH,0,0,0.0,1.0,1,0,13,3
13,0.7692307692307693,10,VeraDM,0,0,0.0,1.0,1,0,13,3
21,0.8571428571428571,18,BH-Exhaustive,5,6,0.2857142857142857,1.0,2,1,15,3
0,0.0,0,Tarone-Bonferroni,0,0,0.0,0.0,2,0,0,0
21,0.8571428571428571,18,Westfall-Young,5,6,0.2857142857142857,1.0,2,1,15,3
21,0.8571428571428571,18,Subgroup-BH,5,6,0.2857142857142857,1.0,2,1,15,3
13,0.7692307692307693,10,StableEnv-BH,0,0,0.0,1.0,2,0,13,3
13,0.7692307692307693,10,VeraDM,0,0,0.0,1.0,2,0,13,3
22,0.8636363636363636,19,BH-Exhaustive,6,7,0.3181818181818182,1.0,3,1,15,3
0,0.0,0,Tarone-Bonferroni,0,0,0.0,0.0,3,0,0,0
21,0.8571428571428571,18,Westfall-Young,5,6,0.2857142857142857,1.0,3,1,15,3
22,0.8636363636363636,19,Subgroup-BH,6,7,0.3181818181818182,1.0,3,1,15,3
13,0.7692307692307693,10,StableEnv-BH,0,0,0.0,1.0,3,0,13,3
13,0.7692307692307693,10,VeraDM,0,0,0.0,1.0,3,0,13,3
21,0.8571428571428571,18,BH-Exhaustive,5,6,0.2857142857142857,1.0,4,1,15,3
0,0.0,0,Tarone-Bonferroni,0,0,0.0,0.0,4,0,0,0
20,0.85,17,Westfall-Young,5,6,0.3,1.0,4,1,14,3
22,0.8636363636363636,19,Subgroup-BH,6,7,0.3181818181818182,1.0,4,1,15,3
13,0.7692307692307693,10,StableEnv-BH,0,0,0.0,1.0,4,0,13,3
13,0.7692307692307693,10,VeraDM,0,0,0.0,1.0,4,0,13,3
21,0.8571428571428571,18,BH-Exhaustive,5,6,0.2857142857142857,1.0,5,1,15,3
0,0.0,0,Tarone-Bonferroni,0,0,0.0,0.0,5,0,0,0
21,0.8571428571428571,18,Westfall-Young,5,6,0.2857142857142857,1.0,5,1,15,3
23,0.8695652173913043,20,Subgroup-BH,7,8,0.34782608695652173,1.0,5,1,15,3
13,0.7692307692307693,10,StableEnv-BH,0,0,0.0,1.0,5,0,13,3
13,0.7692307692307693,10,VeraDM,0,0,0.0,1.0,5,0,13,3
21,0.8571428571428571,18,BH-Exhaustive,5,6,0.2857142857142857,1.0,6,1,15,3
0,0.0,0,Tarone-Bonferroni,0,0,0.0,0.0,6,0,0,0
21,0.8571428571428571,18,Westfall-Young,5,6,0.2857142857142857,1.0,6,1,15,3
21,0.8571428571428571,18,Subgroup-BH,5,6,0.2857142857142857,1.0,6,1,15,3
13,0.7692307692307693,10,StableEnv-BH,0,0,0.0,1.0,6,0,13,3
13,0.7692307692307693,10,VeraDM,0,0,0.0,1.0,6,0,13,3
23,0.8695652173913043,20,BH-Exhaustive,7,8,0.34782608695652173,1.0,7,1,15,3
0,0.0,0,Tarone-Bonferroni,0,0,0.0,0.0,7,0,0,0
21,0.8571428571428571,18,Westfall-Young,5,6,0.2857142857142857,1.0,7,1,15,3
24,0.875,21,Subgroup-BH,8,9,0.375,1.0,7,1,15,3
13,0.7692307692307693,10,StableEnv-BH,0,0,0.0,1.0,7,0,13,3
13,0.7692307692307693,10,VeraDM,0,0,0.0,1.0,7,0,13,3
21,0.8571428571428571,18,BH-Exhaustive,5,6,0.2857142857142857,1.0,8,1,15,3
0,0.0,0,Tarone-Bonferroni,0,0,0.0,0.0,8,0,0,0
21,0.8571428571428571,18,Westfall-Young,5,6,0.2857142857142857,1.0,8,1,15,3
21,0.8571428571428571,18,Subgroup-BH,5,6,0.2857142857142857,1.0,8,1,15,3
13,0.7692307692307693,10,StableEnv-BH,0,0,0.0,1.0,8,0,13,3
13,0.7692307692307693,10,VeraDM,0,0,0.0,1.0,8,0,13,3
21,0.8571428571428571,18,BH-Exhaustive,5,6,0.2857142857142857,1.0,9,1,15,3
0,0.0,0,Tarone-Bonferroni,0,0,0.0,0.0,9,0,0,0
20,0.85,17,Westfall-Young,5,6,0.3,1.0,9,1,14,3
22,0.8636363636363636,19,Subgroup-BH,6,7,0.3181818181818182,1.0,9,1,15,3
13,0.7692307692307693,10,StableEnv-BH,0,0,0.0,1.0,9,0,13,3
13,0.7692307692307693,10,VeraDM,0,0,0.0,1.0,9,0,13,3
