counterfactual_gate_fires,effect_gate_fires,heldout_gate_fires,invalid_accept_ci_high,invalid_accept_ci_low,invalid_accept_rate,method,regime,seeds,stat_fdr_gate_fires,support_gate_fires
0,0,50,0.0,0.0,0.0,FullVerifier,A_heldout,50,0,0
0,0,50,0.0,0.0,0.0,NoSupport,A_heldout,50,0,0
0,0,50,0.0,0.0,0.0,NoStatTest,A_heldout,50,0,0
0,0,50,0.0,0.0,0.0,NoFDR,A_heldout,50,0,0
0,0,50,0.0,0.0,0.0,NoCounterfactual,A_heldout,50,0,0
0,0,0,1.0,1.0,1.0,NoHeldout,A_heldout,50,0,0
936,930,1018,0.0,0.0,0.0,FullVerifier,B_fdr,50,1050,0
936,930,1018,0.0,0.0,0.0,NoSupport,B_fdr,50,1050,0
936,930,1018,0.05919999999999999,-0.01919999999999999,0.02,NoStatTest,B_fdr,50,0,0
936,930,1018,0.0,0.0,0.0,NoFDR,B_fdr,50,994,0
0,930,1018,0.0,0.0,0.0,NoCounterfactual,B_fdr,50,1050,0
936,930,0,0.0,0.0,0.0,NoHeldout,B_fdr,50,1050,0
0,0,5,0.0,0.0,0.0,FullVerifier,C_support,50,0,50
0,0,5,0.984,0.8160000000000001,0.9,NoSupport,C_support,50,0,0
0,0,5,0.0,0.0,0.0,NoStatTest,C_support,50,0,50
0,0,5,0.0,0.0,0.0,NoFDR,C_support,50,0,50
0,0,5,0.0,0.0,0.0,NoCounterfactual,C_support,50,0,50
0,0,0,0.0,0.0,0.0,NoHeldout,C_support,50,0,50
50,0,0,0.0,0.0,0.0,FullVerifier,D_counterfactual,50,0,0
50,0,0,0.0,0.0,0.0,NoSupport,D_counterfactual,50,0,0
50,0,0,0.0,0.0,0.0,NoStatTest,D_counterfactual,50,0,0
50,0,0,0.0,0.0,0.0,NoFDR,D_counterfactual,50,0,0
0,0,0,1.0,1.0,1.0,NoCounterfactual,D_counterfactual,50,0,0
50,0,0,0.0,0.0,0.0,NoHeldout,D_counterfactual,50,0,0
39,37,1,0.0,0.0,0.0,FullVerifier,E_permutation,50,50,17
39,37,1,0.0,0.0,0.0,NoSupport,E_permutation,50,50,0
39,37,1,0.21098923013192272,0.029010769868077255,0.12,NoStatTest,E_permutation,50,0,17
39,37,1,0.0,0.0,0.0,NoFDR,E_permutation,50,50,17
0,37,1,0.0,0.0,0.0,NoCounterfactual,E_permutation,50,50,17
39,37,0,0.0,0.0,0.0,NoHeldout,E_permutation,50,50,17
