accepted,accepted_confounded,accepted_null,accepted_rare,accepted_redundant,accepted_shifted,accepted_true,method,proposed,rejected,rejected_counterfactual,rejected_fdr,rejected_holdout,rejected_support,seed,suite,unique
74,2,63,1,3,2,3,LLMOnly,76,2,0,0,0,0,0,LLMStress,38
0,0,0,0,0,0,0,StatisticalFilter,76,76,0,74,0,1,0,LLMStress,38
0,0,0,0,0,0,0,FullVerifier,76,76,62,74,65,1,0,LLMStress,38
110,18,6,16,26,38,6,LLMOnly,110,0,0,0,0,0,0,ExhaustiveRules,110
40,5,2,0,13,17,3,StatisticalFilter,110,70,0,60,0,20,0,ExhaustiveRules,110
18,4,2,0,9,0,3,FullVerifier,110,92,64,60,60,20,0,ExhaustiveRules,110
74,2,63,1,3,2,3,LLMOnly,76,2,0,0,0,0,1,LLMStress,39
0,0,0,0,0,0,0,StatisticalFilter,76,76,0,74,0,1,1,LLMStress,39
0,0,0,0,0,0,0,FullVerifier,76,76,60,74,64,1,1,LLMStress,39
110,18,6,16,26,38,6,LLMOnly,110,0,0,0,0,0,1,ExhaustiveRules,110
40,5,2,0,13,17,3,StatisticalFilter,110,70,0,61,0,20,1,ExhaustiveRules,110
15,4,2,0,6,0,3,FullVerifier,110,95,67,61,61,20,1,ExhaustiveRules,110
74,2,63,1,3,2,3,LLMOnly,76,2,0,0,0,0,2,LLMStress,39
0,0,0,0,0,0,0,StatisticalFilter,76,76,0,74,0,1,2,LLMStress,39
0,0,0,0,0,0,0,FullVerifier,76,76,67,74,65,1,2,LLMStress,39
110,18,6,16,26,38,6,LLMOnly,110,0,0,0,0,0,2,ExhaustiveRules,110
39,4,2,0,13,17,3,StatisticalFilter,110,71,0,61,0,20,2,ExhaustiveRules,110
14,4,2,0,5,0,3,FullVerifier,110,96,67,61,59,20,2,ExhaustiveRules,110
74,2,63,1,3,2,3,LLMOnly,76,2,0,0,0,0,3,LLMStress,38
0,0,0,0,0,0,0,StatisticalFilter,76,76,0,74,0,1,3,LLMStress,38
0,0,0,0,0,0,0,FullVerifier,76,76,61,74,67,1,3,LLMStress,38
110,18,6,16,26,38,6,LLMOnly,110,0,0,0,0,0,3,ExhaustiveRules,110
42,6,3,0,13,17,3,StatisticalFilter,110,68,0,58,0,20,3,ExhaustiveRules,110
14,4,2,0,5,0,3,FullVerifier,110,96,67,58,63,20,3,ExhaustiveRules,110
74,2,63,1,3,2,3,LLMOnly,76,2,0,0,0,0,4,LLMStress,37
0,0,0,0,0,0,0,StatisticalFilter,76,76,0,74,0,1,4,LLMStress,37
0,0,0,0,0,0,0,FullVerifier,76,76,57,74,62,1,4,LLMStress,37
110,18,6,16,26,38,6,LLMOnly,110,0,0,0,0,0,4,ExhaustiveRules,110
39,4,2,0,13,17,3,StatisticalFilter,110,71,0,61,0,20,4,ExhaustiveRules,110
16,4,2,0,7,0,3,FullVerifier,110,94,63,61,62,20,4,ExhaustiveRules,110
74,2,63,1,3,2,3,LLMOnly,76,2,0,0,0,0,5,LLMStress,36
0,0,0,0,0,0,0,StatisticalFilter,76,76,0,74,0,1,5,LLMStress,36
0,0,0,0,0,0,0,FullVerifier,76,76,54,74,67,1,5,LLMStress,36
110,18,6,16,26,38,6,LLMOnly,110,0,0,0,0,0,5,ExhaustiveRules,110
38,4,2,0,12,17,3,StatisticalFilter,110,72,0,62,0,20,5,ExhaustiveRules,110
14,4,2,0,5,0,3,FullVerifier,110,96,65,62,61,20,5,ExhaustiveRules,110
74,2,63,1,3,2,3,LLMOnly,76,2,0,0,0,0,6,LLMStress,38
0,0,0,0,0,0,0,StatisticalFilter,76,76,0,74,0,1,6,LLMStress,38
0,0,0,0,0,0,0,FullVerifier,76,76,68,74,67,1,6,LLMStress,38
110,18,6,16,26,38,6,LLMOnly,110,0,0,0,0,0,6,ExhaustiveRules,110
39,4,2,0,13,17,3,StatisticalFilter,110,71,0,61,0,20,6,ExhaustiveRules,110
14,4,2,0,5,0,3,FullVerifier,110,96,64,61,61,20,6,ExhaustiveRules,110
74,2,63,1,3,2,3,LLMOnly,76,2,0,0,0,0,7,LLMStress,39
0,0,0,0,0,0,0,StatisticalFilter,76,76,0,74,0,1,7,LLMStress,39
0,0,0,0,0,0,0,FullVerifier,76,76,68,74,67,1,7,LLMStress,39
110,18,6,16,26,38,6,LLMOnly,110,0,0,0,0,0,7,ExhaustiveRules,110
39,4,2,0,13,17,3,StatisticalFilter,110,71,0,65,0,20,7,ExhaustiveRules,110
13,4,2,0,4,0,3,FullVerifier,110,97,66,65,61,20,7,ExhaustiveRules,110
